Logger, Apis_admin:         	Automatically truncated logfile to 1048576, MadelineProto 8.0.0-beta199
ResponseHandler, Apis_admin: 	Yes
AuthKeyHandler, Apis_admin: 	Server-client time delta = 0.0 s
Crypt, Apis_admin:          	Executing p/g checks (1/2)...
Crypt, Apis_admin:          	Executing p/g checks (2/2)...
Crypt, Apis_admin:          	Executing g check...
Crypt, Apis_admin:          	Executing g_a check (1/2)...
Crypt, Apis_admin:          	Executing g_a check (2/2)...
AuthKeyHandler, Apis_admin: 	Generating b...
AuthKeyHandler, Apis_admin: 	Generating g_b...
Crypt, Apis_admin:          	Executing g_a check (1/2)...
Crypt, Apis_admin:          	Executing g_a check (2/2)...
AuthKeyHandler, Apis_admin: 	Executing g_b check...
AuthKeyHandler, Apis_admin: 	Preparing client_DH_inner_data...
AuthKeyHandler, Apis_admin: 	Executing set_client_DH_params...
ResponseHandler, Apis_admin: 	Trying to assign a response of type Set_client_DH_params_answer to its request...
ResponseHandler, Apis_admin: 	Does the request of return type Set_client_DH_params_answer match?
ResponseHandler, Apis_admin: 	Yes
AuthKeyHandler, Apis_admin: 	Generating authorization key (install gmp to speed up this process)...
AuthKeyHandler, Apis_admin: 	Diffie Hellman key exchange processed successfully!
AuthKeyHandler, Apis_admin: 	Auth key generated
DataCenterConnection, Apis_admin: 	Binding authorization keys...
WriteLoop, Apis_admin:      	Skipping users.getUsers sent 1714421097 seconds ago due to unbound keys in DC 2.0
DataCenterConnection, Apis_admin: 	Bound temporary and permanent authorization keys, DC 2
WriteLoop, Apis_admin:      	Skipping users.getUsers sent 1714421098 seconds ago due to uninited connection in DC 2.0
WriteLoop, Apis_admin:      	Writing client info (also executing help.getConfig)...
DataCenterConnection, Apis_admin: 	Done initing auth for DC 2
PingLoop, Apis_admin:       	Ping DC 2.0
MTProto, Apis_admin:        	Starting update system
MTProto, Apis_admin:        	Obtaining updates after deserialization...
APIWrapper, Apis_admin:     	MadelineProto tayyor!
SessionPaths, Apis_admin:   	Waiting for exclusive lock of /home/uznetdev/Desktop/project/API/youtube/audio/session.madeline/ipcState.php.lock...
SessionPaths, Apis_admin:   	Got exclusive lock of /home/uznetdev/Desktop/project/API/youtube/audio/session.madeline/ipcState.php.lock...
FeedLoop, Apis_admin:       	Resumed update feed loop generic
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001815304083
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001314165529
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001618246959
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001354446619
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001042425729
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001726776590
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001500967499
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001900017584
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001767938319
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001822847175
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001760397355
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001663363331
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001490263181
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001177449352
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001826133542
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001169511702
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001973572719
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001593373417
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001390665020
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001253681462
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001721461727
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001583808534
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001786204076
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001607688111
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001614861659
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001836882820
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001475011286
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001493007793
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001792562855
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001469838148
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001919954791
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001204827820
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001505836269
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001988058745
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001430512765
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001860065578
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001779440127
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1002018881358
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001099055637
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001820718553
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001204431322
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001193031232
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001181217374
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001243458077
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001380637994
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001331914340
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001973853850
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001606266377
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001770626513
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001668118676
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001525397354
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001263084055
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001319757093
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001935418910
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001251580878
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001181457391
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001597312642
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001126620351
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001931029459
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001198611961
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001364434033
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001090596524
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001243812232
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001908845508
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001820272301
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001317971375
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1002054788479
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001662385879
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001258175254
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001172140632
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001414506332
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001438411365
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001772234515
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001619700028
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1002115862272
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001568423083
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001195619590
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001902494721
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001832200146
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001746805577
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001595955916
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001517516028
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001278648959
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001255770177
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001409629083
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001463364733
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001491691888
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001639106817
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001553022926
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001773646018
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001629232687
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001691672480
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001875405237
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001863810433
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001811732523
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001741662083
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001464785868
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001324750353
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001461191476
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001404308969
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001893214783
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001678380740
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001240725808
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001924012729
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001945224949
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001059976619
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001296026451
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001135952502
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001246197565
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001524755160
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001360743730
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001929574788
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001833692278
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001579359502
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001934035099
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001445137850
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001907080388
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001171472250
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001921746726
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001709707023
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001798447436
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001309025017
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001485392978
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001765540718
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001826512634
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001845680230
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001531450384
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1002098928000
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001953386017
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001239918117
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001370688148
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001356589862
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001964283124
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001685143757
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001458962897
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001487968167
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001142309634
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001273042847
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001424222526
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001440462965
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001569665002
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001335422151
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001276378269
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001247506878
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001443774409
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001951832634
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001416172307
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001468849385
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1002105773609
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001695882806
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001650415613
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001483665989
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001060510203
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001717106074
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001942783111
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001709935791
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001707157811
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001569659271
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001240144224
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001442144956
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001509132025
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001590179029
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001331514292
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001117303966
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001343262728
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001004334532
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001570089582
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001246971072
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001348018314
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001776720550
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001908896616
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001292086187
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1002117980023
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1002077612461
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001600146159
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001477979542
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001987621378
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001512094722
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001898375779
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001066157778
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001830740598
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001331872247
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001285493789
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001187544317
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001173545479
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001175439841
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001867404583
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001498408727
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001695433093
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001273600630
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001403756059
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001337438456
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001260422707
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001529177696
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001473644586
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001500872230
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1002049357537
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001294446219
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001887648234
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001442538819
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001092525399
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001363019971
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001176753054
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001458868347
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001868118454
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001520039649
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001746551871
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001191651887
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001849187064
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001692904150
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001366899038
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001019391816
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001710325037
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001378763039
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type messageService in update feed loop channel -1001618246959...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001900017584...
MinDatabase, Apis_admin:    	Found 4 pending contexts
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001500967499
UpdateHandler, Apis_admin:  	Saving update of type updateEditChannelMessage
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001822847175...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001042425729...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001760397355...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001815304083...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001169511702...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001826133542...
MinDatabase, Apis_admin:    	Found 3 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001354446619...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001726776590...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001767938319...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001663363331...
MinDatabase, Apis_admin:    	Found 4 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001314165529...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001253681462...
MinDatabase, Apis_admin:    	Found 4 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001583808534...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001721461727...
MinDatabase, Apis_admin:    	Found 5 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001973572719...
MinDatabase, Apis_admin:    	Found 5 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001490263181...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001390665020...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001786204076...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type messageService in update feed loop channel -1001505836269...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001475011286...
MinDatabase, Apis_admin:    	Found 3 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001593373417...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001614861659...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001204431322...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001860065578...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001779440127...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001493007793...
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001493007793
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateEditChannelMessage
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001204827820...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001820718553...
MinDatabase, Apis_admin:    	Found 5 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001193031232...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001919954791...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001919954791...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001919954791...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001919954791...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001919954791...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001919954791...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001919954791...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001919954791...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001919954791...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001919954791...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001919954791...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001919954791...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001919954791...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001919954791...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001919954791...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001919954791...
FeedLoop, Apis_admin:       	Resumed update feed loop channel -1001919954791
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateNewChannelMessage
UpdateHandler, Apis_admin:  	Saving update of type updateDeleteChannelMessages
FeedLoop, Apis_admin:       	Resumed update feed loop generic
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001380637994...
MinDatabase, Apis_admin:    	Found 2 pending contexts
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001099055637...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001177449352...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001177449352...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001177449352...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001177449352...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001177449352...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001177449352...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001177449352...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001177449352...
FeedLoop, Apis_admin:       	Getdiff fed me message of type message in update feed loop channel -1001177449352...
